City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Camacha,PT,33.0833,-16.3333,72.82,64,20,8.05,few clouds
232,Byron Bay,AU,-28.65,153.6167,62.94,77,92,7.94,overcast clouds
233,Tawau,MY,4.2498,117.8871,77.13,94,98,2.28,overcast clouds
234,Butaritari,KI,3.0707,172.7902,80.76,71,100,18.19,overcast clouds
235,Klaksvik,FO,62.2266,-6.589,47.32,81,57,17.74,light rain
236,Upernavik,GL,72.7868,-56.1549,31.6,98,100,7.92,snow
237,Marawi,PH,7.9986,124.2928,70.77,91,100,3.47,moderate rain
238,Koshurnikovo,RU,54.1667,93.3,30.34,70,19,4.14,few clouds
239,Souillac,MU,-20.5167,57.5167,73.78,73,40,6.91,scattered clouds
240,Novikovo,RU,51.1537,37.8879,43.88,64,5,5.14,clear sky
241,Roald,NO,62.5833,6.1333,52.72,71,75,4.61,light rain
242,Northam,GB,51.0333,-4.2167,61.61,72,67,17.56,broken clouds
243,Nishihara,JP,26.1842,127.7558,81.68,78,100,16.11,overcast clouds
244,Mmathubudukwane,BW,-24.6,26.4333,83.62,33,97,14.63,overcast clouds
245,Danielskuil,ZA,-28.1887,23.5395,79.72,23,95,6.11,overcast clouds
246,Hofn,IS,64.2539,-15.2082,48.22,61,75,20.71,broken clouds
247,Basco,PH,20.4487,121.9702,82.35,87,100,16.49,overcast clouds
248,Tsaratanana,MG,-16.7833,47.65,82.8,26,11,3.85,few clouds
249,Del Rio,US,29.3627,-100.8968,75.22,90,100,9.22,overcast clouds
250,Rawah,IQ,34.4816,41.9093,87.37,15,78,7.72,broken clouds
251,Lavrentiya,RU,65.5833,-171.0,29.5,76,100,24.9,overcast clouds
252,Bambanglipuro,ID,-7.95,110.2833,77.56,86,94,6.82,overcast clouds
253,Oktyabrskoye,RU,43.0645,44.7417,51.94,93,100,11.18,overcast clouds
254,Sitka,US,57.0531,-135.33,51.69,93,100,0.0,overcast clouds
255,Najran,SA,17.4924,44.1277,83.05,21,2,10.31,clear sky
256,Mount Gambier,AU,-37.8333,140.7667,44.51,100,20,3.44,few clouds
257,Victoria,HK,22.2855,114.1577,86.38,50,100,13.0,overcast clouds
258,Morgan City,US,29.6994,-91.2068,79.0,94,0,3.44,clear sky
259,Jinxiang,CN,27.4327,120.6062,70.74,82,100,10.94,overcast clouds
260,Ailigandi,PA,9.2333,-78.0167,83.05,75,77,2.37,light rain
261,Praia,CV,14.9215,-23.5087,84.74,54,20,10.36,few clouds
262,Koslan,RU,63.4564,48.8989,43.66,89,99,5.86,overcast clouds
263,Mangrol,IN,21.1167,70.1167,82.56,58,15,4.03,few clouds
264,Port Hawkesbury,CA,45.6169,-61.3485,60.96,99,100,8.01,mist
265,Alekseyevsk,RU,57.8406,108.3492,27.82,84,94,4.18,overcast clouds
266,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,68,61,11.36,broken clouds
267,Urusha,RU,54.05,122.9,26.22,61,0,5.68,clear sky
268,Mount Forest,CA,43.9795,-80.7221,47.53,70,67,8.05,broken clouds
269,Bengkulu,ID,-3.8004,102.2655,75.92,89,98,2.1,overcast clouds
270,Haapiti,PF,-17.5667,-149.8667,73.13,68,14,17.02,few clouds
271,Ushtobe,KZ,45.2514,77.9838,61.05,28,98,3.8,overcast clouds
272,Vaitape,PF,-16.5167,-151.75,78.85,67,8,17.56,clear sky
273,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,93,100,9.22,light rain
274,Mehamn,NO,71.0357,27.8492,46.35,87,100,6.91,overcast clouds
275,Port Maria,JM,18.3685,-76.8895,89.06,83,9,5.55,clear sky
276,Laguna,US,38.421,-121.4238,60.17,88,0,8.05,clear sky
277,Salihorsk,BY,52.7876,27.5415,52.39,57,100,12.88,overcast clouds
278,Evensk,RU,61.95,159.2333,16.05,72,74,7.78,broken clouds
279,Itoman,JP,26.1247,127.6694,82.42,78,100,16.11,overcast clouds
280,Saint-Pierre,RE,-21.3393,55.4781,73.08,64,100,4.61,overcast clouds
281,Asyut,EG,27.181,31.1837,85.53,24,0,11.39,clear sky
282,Pangnirtung,CA,66.1451,-65.7125,40.95,99,100,5.48,moderate rain
283,Carnarvon,AU,-24.8667,113.6333,65.77,69,0,22.35,clear sky
284,Mezen,RU,65.8522,44.24,44.28,92,79,9.95,broken clouds
285,Okhotsk,RU,59.3833,143.3,27.21,53,27,8.43,scattered clouds
286,Euclides Da Cunha,BR,-10.5075,-39.0158,90.34,21,0,10.2,clear sky
287,Kamenka,RU,51.3223,42.7678,42.46,61,31,5.03,scattered clouds
288,Manchester,GB,53.4809,-2.2374,58.14,61,73,3.44,broken clouds
289,Palasa,IN,18.7667,84.4167,77.7,87,16,3.04,few clouds
290,Poshekhonye,RU,58.4993,39.1353,46.38,74,12,11.39,few clouds
291,Aklavik,CA,68.2191,-135.0107,24.8,80,100,6.91,light snow
292,Rovaniemi,FI,66.5,25.7167,49.41,100,100,9.22,shower rain
293,Inzer,RU,54.2167,57.5556,41.05,90,100,3.29,moderate rain
294,Faya,SA,18.3851,42.4509,75.31,33,45,6.04,scattered clouds
295,Matara,LK,5.9485,80.5353,77.09,88,100,6.33,moderate rain
296,Pokhara,NP,28.2333,83.9833,65.05,74,2,5.06,clear sky
297,Alta Floresta,BR,-9.8756,-56.0861,80.42,74,0,3.44,clear sky
298,Nelson Bay,AU,-32.7167,152.15,64.0,95,77,4.0,broken clouds
299,Millinocket,US,45.6573,-68.7098,55.51,71,0,9.22,clear sky
300,Yakeshi,CN,49.2833,120.7333,25.57,75,21,5.95,few clouds
301,Moranbah,AU,-22.0016,148.0466,72.16,78,23,10.0,few clouds
302,Yulara,AU,-25.2406,130.9889,78.64,44,1,24.16,clear sky
303,Stornoway,GB,58.2093,-6.3865,50.94,79,40,20.71,scattered clouds
304,Peniche,PT,39.3558,-9.3811,72.28,78,49,13.04,scattered clouds
305,Calarasi,MD,47.2544,28.3081,53.31,38,0,4.21,clear sky
306,Qeshm,IR,26.9581,56.2719,93.07,58,0,11.48,clear sky
307,Taoudenni,ML,22.6783,-3.9836,102.99,8,97,12.44,overcast clouds
308,Katsuura,JP,35.1333,140.3,72.0,75,99,5.93,overcast clouds
309,Ust-Tsilma,RU,65.441,52.1498,41.2,94,100,5.26,overcast clouds
310,Koungheul,SN,13.9833,-14.8,94.5,36,10,4.18,clear sky
