City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Bilibino,RU,2022-10-14 22:30:01,68.0546,166.4372,-0.15,97,99,1.14
126,Port Alfred,ZA,2022-10-14 22:30:01,-33.5906,26.891,62.19,96,100,13.38
127,Vila,PT,2022-10-14 22:30:02,42.0304,-8.1588,54.48,92,8,1.92
128,Nanchang,CN,2022-10-14 22:30:03,28.6833,115.8833,61.03,72,0,6.55
129,Busselton,AU,2022-10-14 22:30:03,-33.65,115.3333,50.09,89,4,6.76
130,Avarua,CK,2022-10-14 22:30:04,-21.2078,-159.775,80.65,74,75,12.66
131,Butaritari,KI,2022-10-14 22:30:05,3.0707,172.7902,81.68,73,99,17.16
132,Norman Wells,CA,2022-10-14 22:31:06,65.282,-126.8329,28.44,59,20,3.44
133,Aktash,RU,2022-10-14 22:31:06,50.3,87.7333,23.07,39,23,3.71
134,Bengkulu,ID,2022-10-14 22:31:07,-3.8004,102.2655,74.16,89,99,3.02
135,Sorgun,TR,2022-10-14 22:31:07,39.8101,35.186,50.13,75,99,5.44
136,Robe,AU,2022-10-14 22:31:08,-37.1833,139.75,56.19,73,100,11.74
137,Katsuura,JP,2022-10-14 22:31:09,35.1333,140.3,71.73,79,99,16.69
138,Cayenne,GF,2022-10-14 22:27:54,4.9333,-52.3333,82.44,78,0,6.91
139,Tura,IN,2022-10-14 22:31:09,25.5198,90.2201,68.88,89,0,3.15
140,Kulhudhuffushi,MV,2022-10-14 22:31:10,6.6221,73.07,81.39,78,100,17.74
141,Wanning,CN,2022-10-14 22:31:10,18.8003,110.3967,77.18,83,100,15.66
142,Marsh Harbour,BS,2022-10-14 22:31:11,26.5412,-77.0636,80.96,70,97,9.08
143,Tual,ID,2022-10-14 22:31:12,-5.6667,132.75,83.68,74,100,8.05
144,Singkang,MY,2022-10-14 22:31:12,2.1006,102.7994,74.88,94,85,3.38
145,Nikolskoye,RU,2022-10-14 22:31:13,59.7035,30.7861,48.09,85,100,6.82
146,Honiara,SB,2022-10-14 22:31:13,-9.4333,159.95,85.41,65,100,2.39
147,Karratha,AU,2022-10-14 22:31:14,-20.7377,116.8463,71.73,39,4,8.63
148,Port Lincoln,AU,2022-10-14 22:30:57,-34.7333,135.8667,57.0,62,100,6.15
149,Richards Bay,ZA,2022-10-14 22:31:14,-28.783,32.0377,69.82,80,91,9.53
150,Jos,NG,2022-10-14 22:31:15,9.9167,8.9,67.12,62,40,2.57
151,Afua,BR,2022-10-14 22:31:15,-0.1567,-50.3867,80.26,78,89,8.55
152,Thompson,CA,2022-10-14 22:30:57,55.7435,-97.8558,33.96,93,100,8.05
153,Luanda,AO,2022-10-14 22:31:16,-8.8368,13.2343,77.0,83,75,8.05
154,Bollnas,SE,2022-10-14 22:31:17,61.3482,16.3946,42.55,95,96,4.83
155,Kotaparh,IN,2022-10-14 22:31:18,19.15,82.35,69.08,95,74,5.46
156,Tagusao,PH,2022-10-14 22:31:18,9.1924,117.8141,80.11,84,99,8.97
157,Ilovlya,RU,2022-10-14 22:31:18,49.3033,43.9796,40.95,78,18,5.86
158,Mahebourg,MU,2022-10-14 22:31:19,-20.4081,57.7,71.89,73,40,11.5
159,Chokurdakh,RU,2022-10-14 22:31:20,70.6333,147.9167,11.73,96,98,8.01
160,Atagay,RU,2022-10-14 22:31:20,55.1033,99.3875,27.28,98,78,2.28
161,Torbay,CA,2022-10-14 22:31:21,47.6666,-52.7314,51.49,84,20,5.75
162,Lethem,GY,2022-10-14 22:31:21,3.3803,-59.7968,79.38,77,87,7.14
163,West Wendover,US,2022-10-14 22:31:22,40.7391,-114.0733,72.01,14,0,3.85
164,Dingle,PH,2022-10-14 22:31:23,10.9995,122.6711,78.73,88,46,5.73
165,Namatanai,PG,2022-10-14 22:31:23,-3.6667,152.4333,84.63,67,62,5.97
